WBRatio,OPC,PPC,DAYS,CO2,STRENGTH,source,cluster
0.35,350,0,56,0.12,37.85,synthetic,0
0.36,500,0,56,0.2,45.26,synthetic,0
0.35,500,0,7,0.05,21.01,synthetic,0
0.44,0,500,28,0.06,35.05,synthetic,1
0.53,0,500,56,0.13,52.14,synthetic,1
0.46,0,400,28,0.06,35.8,synthetic,1
0.35,500,0,7,0.13,63.12,synthetic,0
0.54,500,0,7,0.07,59.16,synthetic,0
0.44,0,350,56,0.17,62.88,synthetic,1
0.54,0,400,28,0.11,36.09,synthetic,1
0.47,0,400,56,0.02,27.62,synthetic,1
0.52,0,400,7,0.01,44.63,synthetic,1
0.35,400,0,7,0.05,42.2,synthetic,0
0.35,0,350,56,0.06,33.1,synthetic,1
0.52,400,0,7,0.14,53.62,synthetic,0
0.43,400,0,7,0.04,46.92,synthetic,0
0.51,0,400,7,0.01,38.15,synthetic,1
0.36,400,0,28,0.17,42.97,synthetic,0
0.35,350,0,56,0.15,34.8,synthetic,0
0.35,400,0,28,0.04,39.35,synthetic,0
0.55,500,0,28,0.05,30.82,synthetic,0
0.51,0,350,28,0.2,44.48,synthetic,1
0.43,350,0,28,0.07,44.0,synthetic,0
0.44,0,500,28,0.19,44.14,synthetic,1
0.51,500,0,56,0.17,38.5,synthetic,0
0.37,400,0,28,0.04,53.9,synthetic,0
0.35,500,0,28,0.0,22.43,synthetic,0
0.52,0,350,56,0.07,40.45,synthetic,1
0.55,500,0,7,0.0,48.51,synthetic,0
0.35,500,0,28,0.08,63.12,synthetic,0
0.54,0,350,28,0.12,27.76,synthetic,1
0.47,0,400,28,0.15,29.28,synthetic,1
0.5,400,0,28,0.17,47.25,synthetic,0
0.53,500,0,56,0.07,45.8,synthetic,0
0.42,500,0,7,0.18,45.64,synthetic,0
0.38,400,0,56,0.06,43.36,synthetic,0
0.51,0,350,56,0.05,34.6,synthetic,1
0.35,0,400,56,0.03,39.36,synthetic,1
0.35,350,0,7,0.12,36.67,synthetic,0
0.53,500,0,28,0.11,41.97,synthetic,0
0.35,0,400,28,0.03,53.31,synthetic,1
0.35,500,0,56,0.06,43.48,synthetic,0
0.35,350,0,7,0.2,50.82,synthetic,0
0.35,400,0,7,0.11,29.78,synthetic,0
0.35,500,0,28,0.2,56.58,synthetic,0
0.54,0,400,28,0.04,26.38,synthetic,1
0.43,400,0,7,0.03,46.13,synthetic,0
0.42,500,0,28,0.1,63.12,synthetic,0
0.43,500,0,7,0.13,50.65,synthetic,0
0.35,500,0,28,0.12,18.4,synthetic,0
0.45,0,400,28,0.15,28.48,synthetic,1
0.53,500,0,7,0.14,45.17,synthetic,0
0.55,500,0,7,0.0,24.66,synthetic,0
0.54,0,350,7,0.03,47.06,synthetic,1
0.45,0,350,7,0.12,30.74,synthetic,1
0.43,500,0,7,0.05,62.2,synthetic,0
0.42,0,500,7,0.1,18.12,synthetic,1
0.35,0,350,7,0.14,36.29,synthetic,1
0.55,350,0,28,0.16,43.33,synthetic,0
0.43,350,0,56,0.13,51.39,synthetic,0
0.55,0,400,7,0.11,38.62,synthetic,1
0.55,400,0,7,0.06,36.74,synthetic,0
0.54,0,400,56,0.13,39.14,synthetic,1
0.54,0,500,56,0.07,18.05,synthetic,1
0.55,0,500,56,0.04,32.93,synthetic,1
0.53,500,0,28,0.06,13.56,synthetic,0
0.35,500,0,7,0.08,44.43,synthetic,0
0.35,0,400,28,0.08,35.71,synthetic,1
0.35,350,0,7,0.09,54.9,synthetic,0
0.51,350,0,56,0.04,54.27,synthetic,0
0.44,500,0,7,0.15,45.62,synthetic,0
0.44,350,0,56,0.13,26.67,synthetic,0
0.35,0,400,28,0.13,60.39,synthetic,1
0.52,500,0,7,0.02,42.01,synthetic,0
0.52,500,0,28,0.05,45.87,synthetic,0
0.53,400,0,7,0.15,47.57,synthetic,0
0.5,350,0,7,0.16,47.9,synthetic,0
0.55,350,0,28,0.0,58.43,synthetic,0
0.43,0,400,56,0.02,35.11,synthetic,1
0.43,0,400,56,0.06,55.24,synthetic,1
0.44,350,0,28,0.03,45.78,synthetic,0
0.45,0,400,7,0.03,40.67,synthetic,1
0.51,0,500,56,0.01,37.67,synthetic,1
0.54,0,350,7,0.08,18.18,synthetic,1
0.52,0,400,7,0.0,33.89,synthetic,1
0.35,500,0,7,0.04,45.0,synthetic,0
0.43,350,0,7,0.0,13.56,synthetic,0
0.35,400,0,7,0.09,51.59,synthetic,0
0.35,400,0,28,0.14,46.54,synthetic,0
0.38,500,0,7,0.09,44.79,synthetic,0
0.52,0,350,56,0.0,39.86,synthetic,1
0.38,500,0,7,0.15,13.84,synthetic,0
0.36,350,0,7,0.03,31.14,synthetic,0
0.54,400,0,7,0.17,43.46,synthetic,0
0.35,0,400,7,0.08,24.84,synthetic,1
0.42,0,350,56,0.09,63.12,synthetic,1
0.52,0,350,7,0.05,30.29,synthetic,1
0.53,350,0,56,0.08,37.71,synthetic,0
0.42,0,350,7,0.04,36.92,synthetic,1
0.36,500,0,28,0.0,49.44,synthetic,0
0.53,500,0,28,0.01,30.83,synthetic,0
0.55,400,0,28,0.09,43.57,synthetic,0
0.35,500,0,7,0.13,46.98,synthetic,0
0.55,0,500,7,0.05,29.28,synthetic,1
0.35,0,500,28,0.08,63.12,synthetic,1
0.46,500,0,56,0.03,28.88,synthetic,0
0.35,0,400,7,0.03,42.85,synthetic,1
0.55,0,400,28,0.02,17.1,synthetic,1
0.53,0,400,28,0.07,46.02,synthetic,1
0.45,350,0,7,0.1,22.45,synthetic,0
0.35,0,350,7,0.1,45.43,synthetic,1
0.54,500,0,7,0.1,30.76,synthetic,0
0.44,0,500,7,0.13,37.21,synthetic,1
0.55,400,0,7,0.05,39.55,synthetic,0
0.45,400,0,7,0.11,61.67,synthetic,0
0.53,500,0,56,0.0,63.12,synthetic,0
0.35,400,0,7,0.08,16.62,synthetic,0
0.51,400,0,56,0.0,48.16,synthetic,0
0.36,0,400,56,0.16,25.13,synthetic,1
0.35,0,350,28,0.0,53.55,synthetic,1
0.44,0,400,7,0.11,38.78,synthetic,1
0.52,500,0,56,0.12,25.89,synthetic,0
0.35,350,0,56,0.15,35.33,synthetic,0
0.43,0,500,56,0.07,49.7,synthetic,1
0.44,500,0,56,0.11,29.35,synthetic,0
0.45,400,0,7,0.0,27.64,synthetic,0
0.45,0,350,7,0.17,32.08,synthetic,1
0.54,0,500,7,0.1,48.71,synthetic,1
0.54,350,0,56,0.02,18.48,synthetic,0
0.55,0,500,28,0.13,50.32,synthetic,1
0.52,0,350,28,0.02,44.13,synthetic,1
0.35,500,0,56,0.17,63.12,synthetic,0
0.54,500,0,28,0.12,19.82,synthetic,0
0.35,350,0,56,0.14,17.15,synthetic,0
0.55,350,0,28,0.1,29.56,synthetic,0
0.35,350,0,56,0.08,17.23,synthetic,0
0.51,0,400,56,0.08,63.12,synthetic,1
0.43,0,500,7,0.16,35.66,synthetic,1
0.37,500,0,7,0.04,31.41,synthetic,0
0.42,350,0,7,0.06,40.63,synthetic,0
0.35,0,350,28,0.03,22.09,synthetic,1
0.35,500,0,7,0.06,46.67,synthetic,0
0.43,0,350,7,0.03,36.86,synthetic,1
0.35,0,350,28,0.0,42.42,synthetic,1
0.43,0,400,56,0.03,46.05,synthetic,1
0.53,350,0,7,0.07,46.69,synthetic,0
0.35,500,0,7,0.03,43.28,synthetic,0
0.52,0,350,56,0.03,41.25,synthetic,1
0.35,0,500,28,0.05,26.29,synthetic,1
0.45,0,400,7,0.07,63.12,synthetic,1
0.51,400,0,56,0.08,15.06,synthetic,0
0.35,0,500,28,0.06,46.66,synthetic,1
0.35,500,0,28,0.04,51.41,synthetic,0
0.45,0,350,56,0.11,57.17,synthetic,1
0.54,0,500,7,0.09,42.59,synthetic,1
0.53,400,0,56,0.04,45.89,synthetic,0
0.35,0,400,7,0.08,45.34,synthetic,1
0.38,500,0,7,0.15,28.51,synthetic,0
0.43,0,350,7,0.15,27.15,synthetic,1
0.44,0,500,28,0.19,28.87,synthetic,1
0.35,0,400,28,0.2,57.33,synthetic,1
0.52,500,0,28,0.08,54.17,synthetic,0
0.42,0,500,56,0.03,41.93,synthetic,1
0.55,350,0,28,0.1,15.17,synthetic,0
0.45,350,0,56,0.05,29.68,synthetic,0
0.35,500,0,56,0.07,51.61,synthetic,0
0.46,0,350,28,0.14,30.06,synthetic,1
0.46,400,0,28,0.0,40.18,synthetic,0
0.51,400,0,7,0.0,42.4,synthetic,0
0.52,0,400,56,0.18,38.88,synthetic,1
0.36,0,350,28,0.1,51.01,synthetic,1
0.35,0,350,56,0.05,63.12,synthetic,1
0.54,0,400,7,0.01,33.25,synthetic,1
0.35,400,0,7,0.06,48.79,synthetic,0
0.35,0,400,7,0.2,40.05,synthetic,1
0.35,0,400,28,0.07,44.24,synthetic,1
0.55,0,350,28,0.13,38.08,synthetic,1
0.55,0,500,56,0.13,13.56,synthetic,1
0.55,0,350,56,0.12,41.66,synthetic,1
0.35,500,0,56,0.07,43.28,synthetic,0
0.36,500,0,56,0.08,40.58,synthetic,0
0.35,0,500,56,0.07,53.13,synthetic,1
0.35,0,500,7,0.08,51.28,synthetic,1
0.35,400,0,28,0.2,52.3,synthetic,0
0.54,400,0,7,0.04,27.56,synthetic,0
0.44,500,0,56,0.05,44.1,synthetic,0
0.44,350,0,7,0.16,36.99,synthetic,0
0.44,500,0,7,0.16,46.22,synthetic,0
0.35,350,0,7,0.14,52.31,synthetic,0
0.45,350,0,7,0.1,37.69,synthetic,0
0.36,500,0,28,0.02,25.27,synthetic,0
0.38,0,400,28,0.01,27.8,synthetic,1
0.35,400,0,7,0.12,44.88,synthetic,0
0.43,0,400,7,0.13,37.41,synthetic,1
0.55,0,400,28,0.2,37.47,synthetic,1
0.35,0,400,7,0.02,16.25,synthetic,1
0.44,400,0,7,0.12,63.12,synthetic,0
0.43,350,0,28,0.07,51.22,synthetic,0
0.47,500,0,7,0.04,39.82,synthetic,0
0.35,500,0,56,0.05,19.58,synthetic,0
0.55,0,400,28,0.08,63.12,synthetic,1
0.45,400,0,28,0.12,35.66,synthetic,0
0.52,0,400,56,0.02,32.94,synthetic,1
0.53,500,0,7,0.17,34.17,synthetic,0
0.36,0,400,7,0.06,28.48,synthetic,1
0.35,400,0,56,0.03,39.06,synthetic,0
0.54,500,0,28,0.18,40.21,synthetic,0
0.42,350,0,28,0.03,16.61,synthetic,0
0.35,400,0,7,0.03,27.4,synthetic,0
0.53,350,0,56,0.08,21.75,synthetic,0
0.45,0,500,56,0.11,56.17,synthetic,1
0.54,0,350,28,0.12,52.94,synthetic,1
0.35,0,500,56,0.02,30.99,synthetic,1
0.35,0,500,28,0.04,54.49,synthetic,1
0.43,0,400,56,0.17,62.26,synthetic,1
0.47,350,0,7,0.2,50.65,synthetic,0
0.46,0,400,56,0.08,52.19,synthetic,1
0.54,0,400,7,0.0,33.0,synthetic,1
0.45,0,400,7,0.13,50.4,synthetic,1
0.35,0,350,28,0.0,57.05,synthetic,1
0.45,0,350,7,0.06,39.31,synthetic,1
0.51,0,400,56,0.02,55.99,synthetic,1
0.44,500,0,56,0.15,47.97,synthetic,0
0.53,400,0,56,0.02,39.66,synthetic,0
0.5,350,0,28,0.04,37.23,synthetic,0
0.54,500,0,56,0.07,44.63,synthetic,0
0.55,400,0,7,0.02,47.04,synthetic,0
0.51,400,0,28,0.07,54.7,synthetic,0
0.45,400,0,28,0.11,57.88,synthetic,0
0.55,350,0,7,0.12,41.72,synthetic,0
0.44,0,350,28,0.05,51.45,synthetic,1
0.51,0,500,28,0.17,51.8,synthetic,1
0.37,400,0,7,0.13,27.53,synthetic,0
0.46,350,0,28,0.14,52.02,synthetic,0
0.35,0,400,7,0.02,41.97,synthetic,1
0.55,400,0,28,0.13,52.02,synthetic,0
0.5,350,0,28,0.16,31.75,synthetic,0
0.35,500,0,56,0.11,34.73,synthetic,0
0.45,400,0,56,0.06,28.58,synthetic,0
0.47,400,0,7,0.2,33.38,synthetic,0
0.5,0,400,7,0.13,28.46,synthetic,1
0.44,500,0,28,0.14,51.1,synthetic,0
0.35,0,350,7,0.05,36.92,synthetic,1
0.45,350,0,28,0.15,45.09,synthetic,0
0.43,400,0,28,0.0,45.96,synthetic,0
0.45,500,0,7,0.1,41.72,synthetic,0
0.35,0,400,7,0.04,53.49,synthetic,1
0.35,0,400,56,0.1,17.58,synthetic,1
0.52,0,500,28,0.0,39.97,synthetic,1
0.35,350,0,7,0.03,19.73,synthetic,0
0.52,0,500,56,0.0,34.01,synthetic,1
0.52,500,0,7,0.04,23.03,synthetic,0
0.47,400,0,56,0.0,34.13,synthetic,0
0.35,0,400,7,0.08,45.79,synthetic,1
0.35,500,0,28,0.08,36.13,synthetic,0
0.53,350,0,7,0.04,31.17,synthetic,0
0.52,500,0,28,0.1,54.7,synthetic,0
0.52,400,0,7,0.17,51.29,synthetic,0
0.35,0,400,56,0.03,38.89,synthetic,1
0.35,400,0,7,0.15,44.07,synthetic,0
0.35,0,500,56,0.11,38.23,synthetic,1
0.44,0,350,56,0.07,45.06,synthetic,1
0.52,0,350,7,0.12,52.36,synthetic,1
0.35,350,0,56,0.11,51.13,synthetic,0
0.44,0,350,7,0.1,50.49,synthetic,1
0.43,400,0,28,0.08,47.16,synthetic,0
0.53,350,0,56,0.2,35.0,synthetic,0
0.35,0,350,7,0.0,45.0,synthetic,1
0.42,400,0,56,0.18,50.96,synthetic,0
0.54,500,0,56,0.12,45.14,synthetic,0
0.35,0,400,56,0.05,21.74,synthetic,1
0.35,0,400,28,0.02,37.34,synthetic,1
0.46,0,500,28,0.2,41.51,synthetic,1
0.55,0,400,56,0.03,21.63,synthetic,1
0.35,0,350,7,0.02,52.92,synthetic,1
0.52,0,400,7,0.1,47.07,synthetic,1
0.42,350,0,28,0.05,36.6,synthetic,0
0.47,400,0,7,0.18,49.58,synthetic,0
0.52,0,350,7,0.09,46.14,synthetic,1
0.51,500,0,7,0.04,52.52,synthetic,0
0.44,350,0,7,0.01,61.8,synthetic,0
0.54,0,500,28,0.06,18.83,synthetic,1
0.35,350,0,28,0.11,36.57,synthetic,0
0.37,500,0,56,0.09,47.33,synthetic,0
0.52,400,0,7,0.2,38.45,synthetic,0
0.44,0,500,56,0.06,54.01,synthetic,1
0.44,350,0,56,0.09,63.12,synthetic,0
0.53,350,0,56,0.16,20.54,synthetic,0
0.35,0,500,56,0.04,61.9,synthetic,1
0.51,0,400,56,0.05,63.12,synthetic,1
0.51,350,0,28,0.05,39.72,synthetic,0
0.35,0,500,7,0.1,42.6,synthetic,1
0.42,350,0,7,0.12,48.44,synthetic,0
0.51,0,400,56,0.13,36.72,synthetic,1
0.46,0,350,7,0.0,37.65,synthetic,1
0.52,0,350,7,0.2,49.03,synthetic,1
0.52,350,0,7,0.2,17.35,synthetic,0
0.35,0,500,56,0.09,63.12,synthetic,1
0.35,350,0,28,0.07,63.12,synthetic,0
0.53,0,400,56,0.09,24.59,synthetic,1
0.46,400,0,56,0.02,43.28,synthetic,0
0.44,0,350,56,0.05,28.83,synthetic,1
0.44,500,0,7,0.04,38.37,synthetic,0
0.35,500,0,28,0.05,37.37,synthetic,0
0.44,350,0,56,0.13,42.4,synthetic,0
0.51,0,400,28,0.04,48.8,synthetic,1
0.42,500,0,7,0.08,54.34,synthetic,0
0.43,0,500,56,0.04,35.74,synthetic,1
0.52,350,0,56,0.0,39.28,synthetic,0
0.55,400,0,7,0.07,20.76,synthetic,0
0.35,0,350,56,0.16,45.35,synthetic,1
0.54,500,0,7,0.07,21.82,synthetic,0
0.35,400,0,56,0.0,40.32,synthetic,0
0.51,500,0,28,0.05,51.36,synthetic,0
0.53,0,400,56,0.0,27.19,synthetic,1
0.36,350,0,28,0.11,34.16,synthetic,0
0.37,0,350,56,0.12,54.03,synthetic,1
0.35,0,400,28,0.16,47.45,synthetic,1
0.51,0,400,56,0.19,44.8,synthetic,1
0.55,0,500,7,0.07,46.41,synthetic,1
0.43,0,500,56,0.08,43.31,synthetic,1
0.38,350,0,28,0.03,39.14,synthetic,0
0.35,350,0,56,0.04,21.37,synthetic,0
0.35,0,350,7,0.04,49.82,synthetic,1
0.46,0,500,56,0.0,41.18,synthetic,1
0.35,0,350,28,0.08,41.8,synthetic,1
0.5,350,0,56,0.04,45.61,synthetic,0
0.43,400,0,7,0.12,36.3,synthetic,0
0.53,350,0,7,0.08,54.61,synthetic,0
0.42,0,350,56,0.05,46.42,synthetic,1
0.36,400,0,28,0.14,63.12,synthetic,0
0.54,0,500,56,0.17,52.64,synthetic,1
0.52,400,0,7,0.0,40.54,synthetic,0
0.35,350,0,56,0.15,23.48,synthetic,0
0.45,500,0,28,0.07,41.58,synthetic,0
0.43,0,500,7,0.17,53.21,synthetic,1
0.52,0,400,28,0.02,53.75,synthetic,1
0.52,400,0,56,0.09,18.95,synthetic,0
0.35,0,500,56,0.09,20.33,synthetic,1
0.35,0,400,56,0.07,49.99,synthetic,1
0.35,0,400,7,0.0,54.52,synthetic,1
0.53,0,500,56,0.18,37.77,synthetic,1
0.46,0,500,56,0.17,30.19,synthetic,1
0.52,350,0,28,0.14,49.4,synthetic,0
0.35,500,0,7,0.0,51.42,synthetic,0
0.44,400,0,56,0.04,42.02,synthetic,0
0.44,500,0,7,0.08,36.51,synthetic,0
0.35,0,350,7,0.08,48.38,synthetic,1
0.35,0,500,56,0.06,41.93,synthetic,1
0.35,350,0,7,0.19,37.78,synthetic,0
0.53,0,500,28,0.13,13.56,synthetic,1
0.55,0,500,56,0.09,19.45,synthetic,1
0.55,0,400,56,0.0,41.58,synthetic,1
0.35,0,350,7,0.0,32.06,synthetic,1
0.35,0,500,7,0.05,28.2,synthetic,1
0.35,500,0,28,0.17,49.91,synthetic,0
0.53,0,500,56,0.17,49.8,synthetic,1
0.51,350,0,7,0.16,45.82,synthetic,0
0.54,400,0,28,0.1,30.27,synthetic,0
0.51,400,0,56,0.03,42.34,synthetic,0
0.52,350,0,28,0.05,55.63,synthetic,0
0.42,0,350,28,0.13,37.47,synthetic,1
0.53,400,0,56,0.2,32.64,synthetic,0
0.43,0,400,56,0.06,35.58,synthetic,1
0.44,0,500,56,0.12,46.2,synthetic,1
0.44,0,350,7,0.13,44.72,synthetic,1
0.53,0,500,56,0.14,22.69,synthetic,1
0.35,0,400,7,0.13,37.26,synthetic,1
0.35,0,500,56,0.09,44.7,synthetic,1
0.53,0,400,56,0.0,52.35,synthetic,1
0.37,0,400,7,0.1,27.42,synthetic,1
0.54,500,0,7,0.02,47.34,synthetic,0
0.45,0,350,7,0.19,63.12,synthetic,1
0.35,0,350,7,0.03,63.12,synthetic,1
0.46,0,400,7,0.02,50.68,synthetic,1
0.35,0,500,56,0.07,40.79,synthetic,1
0.36,500,0,56,0.11,36.07,synthetic,0
0.45,0,400,56,0.07,53.66,synthetic,1
0.45,350,0,56,0.04,42.92,synthetic,0
0.53,0,400,28,0.0,40.4,synthetic,1
0.35,0,400,7,0.04,55.65,synthetic,1
0.35,0,350,28,0.17,31.82,synthetic,1
0.55,0,400,28,0.14,40.45,synthetic,1
0.35,400,0,56,0.09,46.5,synthetic,0
0.54,400,0,7,0.16,34.83,synthetic,0
0.42,0,400,7,0.13,28.87,synthetic,1
0.42,0,500,56,0.12,32.8,synthetic,1
0.44,0,400,7,0.07,48.45,synthetic,1
0.35,500,0,56,0.03,34.49,synthetic,0
0.52,0,350,7,0.03,52.24,synthetic,1
0.35,500,0,28,0.1,54.64,synthetic,0
0.35,0,400,56,0.05,47.53,synthetic,1
0.43,0,400,56,0.02,40.47,synthetic,1
0.35,0,400,7,0.18,23.66,synthetic,1
0.35,400,0,7,0.0,34.94,synthetic,0
0.53,400,0,56,0.07,28.38,synthetic,0
0.35,400,0,56,0.13,52.14,synthetic,0
0.43,0,400,56,0.03,63.12,synthetic,1
0.44,400,0,56,0.03,45.05,synthetic,0
0.52,400,0,56,0.1,53.71,synthetic,0
0.43,400,0,28,0.05,47.2,synthetic,0
0.53,350,0,56,0.15,22.99,synthetic,0
0.44,350,0,7,0.08,30.39,synthetic,0
0.43,400,0,28,0.14,40.17,synthetic,0
0.52,0,350,56,0.09,26.71,synthetic,1
0.46,0,400,56,0.1,37.76,synthetic,1
0.35,350,0,56,0.11,33.98,synthetic,0
0.35,500,0,7,0.09,35.77,synthetic,0
0.44,500,0,56,0.03,41.38,synthetic,0
0.51,0,500,7,0.01,33.46,synthetic,1
0.38,0,350,28,0.13,45.2,synthetic,1
0.54,500,0,28,0.12,28.64,synthetic,0
0.35,0,500,7,0.17,40.3,synthetic,1
0.44,0,400,56,0.03,29.64,synthetic,1
0.4,0,400,28,0.1,40.94,synthetic,1
0.52,0,400,56,0.02,50.12,synthetic,1
0.35,0,350,7,0.02,39.98,synthetic,1
0.53,0,350,56,0.09,62.63,synthetic,1
0.53,400,0,7,0.07,56.63,synthetic,0
0.46,500,0,7,0.16,33.07,synthetic,0
0.35,0,350,56,0.2,50.64,synthetic,1
0.35,0,350,56,0.2,46.15,synthetic,1
0.45,400,0,56,0.14,46.76,synthetic,0
0.43,0,400,56,0.03,20.46,synthetic,1
0.35,0,350,28,0.06,52.31,synthetic,1
0.53,500,0,28,0.07,63.12,synthetic,0
0.5,0,350,7,0.12,59.83,synthetic,1
0.43,500,0,7,0.19,22.34,synthetic,0
0.38,0,500,7,0.06,50.92,synthetic,1
0.55,0,350,56,0.08,52.03,synthetic,1
0.53,500,0,7,0.2,34.04,synthetic,0
0.51,0,350,28,0.15,35.91,synthetic,1
0.35,500,0,56,0.03,39.43,synthetic,0
0.44,0,400,7,0.04,39.66,synthetic,1
0.54,350,0,7,0.2,47.21,synthetic,0
0.35,0,500,28,0.08,20.01,synthetic,1
0.45,400,0,56,0.11,63.12,synthetic,0
0.53,350,0,28,0.06,49.45,synthetic,0
0.44,350,0,7,0.0,39.37,synthetic,0
0.44,400,0,28,0.06,63.12,synthetic,0
0.35,0,350,56,0.06,46.67,synthetic,1
0.37,350,0,56,0.15,34.36,synthetic,0
0.35,0,500,56,0.04,27.21,synthetic,1
0.55,350,0,7,0.1,50.84,synthetic,0
0.46,500,0,7,0.16,36.83,synthetic,0
0.35,500,0,7,0.01,33.46,synthetic,0
0.53,0,500,56,0.08,41.09,synthetic,1
0.51,0,350,28,0.07,52.34,synthetic,1
0.53,0,500,56,0.15,49.46,synthetic,1
0.43,0,400,7,0.08,63.12,synthetic,1
0.35,400,0,56,0.09,27.92,synthetic,0
0.53,0,500,56,0.17,42.48,synthetic,1
0.35,500,0,56,0.15,58.37,synthetic,0
0.53,500,0,56,0.12,41.59,synthetic,0
0.35,500,0,28,0.02,63.12,synthetic,0
0.52,400,0,7,0.04,35.54,synthetic,0
0.35,0,400,7,0.2,49.65,synthetic,1
0.43,0,350,7,0.2,52.03,synthetic,1
0.44,400,0,28,0.04,34.71,synthetic,0
0.43,500,0,7,0.07,40.71,synthetic,0
0.37,0,500,7,0.06,24.24,synthetic,1
0.44,0,400,56,0.18,51.78,synthetic,1
0.45,500,0,7,0.08,15.99,synthetic,0
0.5,0,500,28,0.05,37.91,synthetic,1
0.38,0,350,28,0.09,34.34,synthetic,1
0.55,400,0,7,0.1,50.09,synthetic,0
0.35,0,400,7,0.2,48.64,synthetic,1
0.54,0,500,56,0.04,52.7,synthetic,1
0.53,350,0,56,0.11,43.24,synthetic,0
0.35,500,0,7,0.07,42.4,synthetic,0
0.44,400,0,7,0.18,47.5,synthetic,0
0.54,0,350,28,0.14,23.19,synthetic,1
0.44,0,500,28,0.2,29.33,synthetic,1
0.35,350,0,56,0.13,13.56,synthetic,0
0.51,400,0,7,0.1,49.37,synthetic,0
0.35,0,400,7,0.12,52.52,synthetic,1
0.46,500,0,28,0.12,39.4,synthetic,0
0.35,400,0,7,0.04,39.3,synthetic,0
0.43,0,400,56,0.13,50.45,synthetic,1
0.46,0,500,7,0.2,35.06,synthetic,1
0.35,400,0,56,0.16,37.52,synthetic,0
0.54,0,500,56,0.09,45.9,synthetic,1
0.55,500,0,7,0.15,50.03,synthetic,0
0.55,0,500,56,0.07,50.45,synthetic,1
0.55,0,500,28,0.03,34.24,synthetic,1
0.43,500,0,56,0.07,44.72,synthetic,0
0.36,400,0,7,0.08,49.16,synthetic,0
0.42,350,0,7,0.0,21.21,synthetic,0
0.42,0,500,56,0.06,41.01,synthetic,1
0.42,0,400,28,0.14,34.66,synthetic,1
0.35,500,0,56,0.06,23.26,synthetic,0
0.37,0,350,28,0.09,48.05,synthetic,1
0.35,0,500,28,0.03,37.69,synthetic,1
0.55,350,0,28,0.05,62.65,synthetic,0
0.53,400,0,56,0.2,24.7,synthetic,0
0.5,0,400,7,0.11,32.46,synthetic,1
0.37,500,0,28,0.2,39.78,synthetic,0
0.53,500,0,56,0.07,27.41,synthetic,0
0.53,0,350,7,0.13,21.74,synthetic,1
0.35,400,0,56,0.06,53.63,synthetic,0
0.35,350,0,56,0.11,22.94,synthetic,0
0.55,0,400,56,0.05,39.48,synthetic,1
0.42,500,0,7,0.04,63.12,synthetic,0
0.44,500,0,28,0.2,45.87,synthetic,0
0.35,0,500,56,0.08,49.22,synthetic,1
0.44,350,0,28,0.06,46.73,synthetic,0
0.51,400,0,56,0.17,24.22,synthetic,0
0.35,350,0,28,0.09,52.03,synthetic,0
0.51,0,350,56,0.03,47.82,synthetic,1
0.55,400,0,28,0.18,41.14,synthetic,0
0.55,0,500,28,0.1,53.08,synthetic,1
0.44,0,350,56,0.05,32.5,synthetic,1
0.54,500,0,7,0.0,63.12,synthetic,0
0.43,0,400,56,0.05,49.37,synthetic,1
0.47,0,350,28,0.03,43.66,synthetic,1
0.45,400,0,7,0.06,63.0,synthetic,0
0.35,400,0,7,0.04,24.46,synthetic,0
0.45,0,400,56,0.05,23.57,synthetic,1
0.42,350,0,28,0.13,63.12,synthetic,0
0.55,0,500,28,0.07,45.79,synthetic,1
0.35,500,0,28,0.06,22.65,synthetic,0
0.36,0,500,28,0.07,38.94,synthetic,1
0.35,0,500,56,0.13,31.49,synthetic,1
0.35,500,0,56,0.16,47.73,synthetic,0
0.44,400,0,28,0.02,31.57,synthetic,0
0.35,0,500,28,0.13,49.45,synthetic,1
0.38,350,0,7,0.2,50.86,synthetic,0
0.53,0,500,28,0.12,63.12,synthetic,1
0.55,400,0,7,0.15,48.55,synthetic,0
0.46,0,500,7,0.08,49.63,synthetic,1
0.54,350,0,28,0.07,44.52,synthetic,0
0.52,500,0,28,0.1,50.35,synthetic,0
0.38,400,0,56,0.2,34.23,synthetic,0
0.45,500,0,28,0.05,51.62,synthetic,0
0.35,0,350,56,0.05,45.86,synthetic,1
0.51,350,0,7,0.11,42.34,synthetic,0
0.35,0,500,28,0.13,31.0,synthetic,1
0.36,0,350,56,0.0,52.14,synthetic,1
0.54,0,400,56,0.11,33.24,synthetic,1
0.54,0,400,28,0.13,39.71,synthetic,1
0.44,0,500,7,0.14,54.45,synthetic,1
0.45,0,400,7,0.06,51.7,synthetic,1
0.45,350,0,28,0.09,52.76,synthetic,0
0.46,500,0,7,0.09,39.14,synthetic,0
0.55,0,500,7,0.03,30.26,synthetic,1
0.44,350,0,28,0.03,32.26,synthetic,0
0.52,0,350,56,0.16,63.12,synthetic,1
0.35,0,500,7,0.14,58.34,synthetic,1
0.55,0,400,7,0.01,33.67,synthetic,1
0.43,0,350,56,0.05,47.42,synthetic,1
0.45,0,400,7,0.15,40.32,synthetic,1
0.36,400,0,56,0.15,41.29,synthetic,0
0.35,400,0,28,0.06,43.12,synthetic,0
0.43,0,400,28,0.2,15.06,synthetic,1
0.52,0,400,28,0.17,29.46,synthetic,1
0.35,350,0,7,0.1,47.88,synthetic,0
0.43,0,350,56,0.14,23.03,synthetic,1
0.53,350,0,56,0.16,24.43,synthetic,0
